"","length","time","Dens","Trt","Rep","Ind","xn","yn","x0","y0","Tank","Sal","Temp","Oxy","CL","CW","SI","Trial","Side","High","StepLength","DistHigh","TimeHigh","Displacement"
"39",168.706446031317,150,"D2","LL","4",2,-127.438803753342,68.6852547488706,-20.6563480474686,-22.0481271617759,"WV02","31","10","10.1","7.5","19.8","1.5","30","C",0,5.6235482010439,0,0,140.12508497596
"40",229.649987114914,325,"D2","LL","5",2,-77.2306333970142,-115.531334929429,-1.55002623258639,26.5925262274627,"WV04","30","12.4","10.1","7","20.2","1.4","33","O",1,3.53307672484482,229.649987114914,325,161.017844386639
"41",616.097819286137,215,"D2","LL","6",2,-82.0339705001244,118.824995410834,-21.0895906276066,-10.2547394018555,"WV02","31","11.3","10.1","6.8","19.3","1.3","46","O",1,14.3278562624683,473.609439401705,170,142.743810294387
"42",289.164695543609,140,"D2","LL","7",2,140.427373537151,31.8169919140323,0.265740225823217,-0.527649213378951,"WV02","31","11.2","10.5","7.4","20","1.5","54","C",1,10.3273105551289,179.506421765793,40,143.8452615214
"43",522.057314470732,365,"D2","HH","1",2,140.195875323831,35.4315589087591,14.9950830068847,-20.0576050817798,"WV02","31","9.6","10.6","7.6","19.9","1.5","7","O",0,7.15147006124291,220.19120892082,75,136.946287708576
"44",1465.95517824321,1295,"D2","HH","2",2,11.2501246506892,-32.3584574327015,-1.60408504358209,-22.7693639272808,"WV02","32","10.7","11","7.5","19.1","1.4","10","O",0,5.66005860325565,838.623895980964,385,16.0368769129154
"45",695.245295201683,1295,"D2","HH","3",2,6.89761136388437,-39.4629398123456,1.36662963534662,-19.8274472002775,"WV04","31","10.9","10.6","7","20.7","1.4","17","C",1,2.68434476911847,316.343100546231,280,20.3996159032468
"46",399.117524785786,280,"D2","HH","4",2,37.0396115679982,139.352226434355,-4.3130278055653,-16.1108001039185,"WV02","31","11.1","10.4","7.6","20.2","1.5","32","C",1,7.12709865688903,362.17632810679,235,160.868870212978
"47",1283.43979124205,335,"D2","HH","5",2,137.849971928727,25.8969562738423,10.648820195892,22.7094143305274,"WV02","30","12.4","9.1","7.6","21","1.6","34","O",0,19.1558177797321,685.895030666397,135,127.241083875453
"48",1239.0987126827,530,"D2","HH","6",2,61.1045219613953,136.488060777452,-20.862408246446,-19.3385520150455,"WV02","31","11.9","9.6","7.2","20.2","1.5","48","O",0,11.6896104970066,561.560647854775,120,176.069619475025
"49",964.703121589272,310,"D2","HH","7",2,147.483582000663,-23.1523860846725,-25.7209662712723,-8.5838992766732,"WV04","31","12.7","10.3","7.1","19.9","1.4","55","C",1,15.5597277675689,514.639176798631,125,173.816156757535
"50",351.840446770065,135,"D2","HM","1",2,-131.673205868673,-64.5056485686801,-16.3920168592079,18.2116747908435,"WV04","31","9.8","10.4","7.1","21.5","1.5","3","O",1,13.0311276581505,351.840446770065,135,141.886955437066
"51",534.624910786197,190,"D2","HM","2",2,118.706399526687,-102.212613743366,-14.2849309347687,-10.4755687172052,"WV04","30","11.3","9.9","6.8","21.4","1.5","11","C",1,14.0690765996368,267.110623123538,95,161.562308129217
"52",1826.18720628004,525,"D2","HM","3",2,-53.5130021747977,-138.128030380079,-8.50582119871825,-8.665042927501,"WV02","31","10.6","9.6","6.9","20","1.4","20","O",1,17.3922591074289,1132.59194268581,305,137.063165947529
"53",246.324711968384,140,"D2","HM","4",2,-0.0789302124891407,147.151173567667,15.9720844533929,21.976969105263,"WV04","31","10","9.1","7.5","17.1","1.3","29","O",1,8.797311141728,209.617676335403,85,126.199114634771
"54",1264.87780825353,910,"D2","HM","5",2,122.777894983504,77.6753572653493,-14.2604657966756,-21.0139221027833,"WV02","30","12.8","9.8","7.1","19.1","1.4","36","O",0,6.94987806732708,803.669434404163,645,168.875949109161
"55",1412.61108311254,885,"D2","HM","6",2,-132.364854474557,-57.6554370123865,19.5390697794785,18.9440444264858,"WV04","31","11.5","9.4","7","21.2","1.5","45","O",1,7.98085357690698,671.358775375487,340,170.124315606206
"56",375.134738815582,75,"D2","HM","7",2,140.917837337896,-18.7756737564926,2.24917787227194,-2.77684187142197,"WV02","31","12.8","10","6.8","19.9","1.4","56","O",0,25.0089825877054,116.825568758992,20,139.588537278961
"57",910.604908490741,455,"D2","HL","1",3,29.6041466103356,95.5654325814191,12.489355119591,-5.62851219211139,"WV04","30","9.9","10.7","7.8","19.7","1.5","5","O",0,10.0066473460521,634.620150230757,225,102.631040853145
"58",1268.50363730555,315,"D2","HL","2",3,96.1506997816296,102.991199129357,26.7387359674784,-6.10392081055092,"WV02","31","11.4","9.9","7.4","19.3","1.4","12","O",0,20.1349783699294,638.306386224501,170,129.30493383951
"59",945.234908776208,645,"D2","HL","3",3,-134.525598284272,-70.2109213853412,-30.0549165534724,-1.48959377140543,"WV02","31","11.3","9.1","7.8","20.8","1.6","24","C",0,7.32740239361402,0,0,125.046968017301
"60",675.347735322272,275,"D2","HL","4",3,9.19788260921283,-147.153628281966,18.5493908629032,-25.7949610423285,"WV02","31","10.4","10","7.3","21.7","1.6","28","C",1,12.2790497331322,282.265314557944,205,121.718432543309
"61",282.924785596912,90,"D2","HL","5",3,89.7298010377131,94.6820574301828,-3.61686820188274,5.37516269616181,"WV02","31","12.8","9.3","7.3","19","1.4","38","O",0,15.7180436442729,182.172472698987,75,129.187159211587
"62",686.360673127332,370,"D2","HL","6",3,146.104174056212,11.7954993006733,26.8824998476431,-17.3418232184931,"WV02","30","11.4","9.9","6.9","20.9","1.4","44","O",0,9.27514423145043,254.178275347376,35,122.730563286738
"63",537.04604956142,200,"D2","HL","7",3,22.8506136318691,148.476620726251,-3.25329659009841,22.8418863235253,"WV02","31","12.1","10.4","7.3","18.9","1.4","52","C",1,13.4261512390355,469.654632353085,165,128.317966853126
"64",409.039669441757,185,"D2","LL","1",3,127.459471924752,64.4554881888535,-4.53847456741689,13.9153389768597,"WV02","30","9.9","10.7","7.3","19.3","1.4","6","O",0,11.0551262011286,7.10173818498913,20,141.342720224708
"65",398.316672364033,585,"D2","LL","2",3,78.3768906730081,108.944027731819,-12.1650454504354,-22.4531923963797,"WV02","31","9.9","10.7","7.3","18","1.3","16","O",0,3.4044160031114,293.371400666799,535,159.571525199203
"66",583.712463750404,335,"D2","LL","3",3,-137.523809074916,-28.8599151787737,-10.8208259617541,-9.1205352729666,"WV04","31","11.6","9.9","7.5","18.6","1.4","23","C",0,8.7121263246329,211.702763411745,55,128.231388703546
"67",397.916024074067,135,"D2","LL","4",3,-131.642006584483,59.3255622774114,-30.5148538495548,-9.41781308055715,"WV02","31","10","10.1","7.5","19.8","1.5","30","C",0,14.7376305212617,103.151180239955,45,122.279813035022
